аамм	اعم
аб	اب
абавайн	ابوين
абавият	ابويت
абавӣ	ابوي
абавон	ابوان
абад	ابد
абада	عبده
абадан	ابداً
абадзинда	ابدزنده
абадият	ابديت
абадӣ	ابدي
абадуддаҳр	ابدالدهر
абадулабад	ابدالابد
абадулобидин	ابدالآبدين
абадулобод	ابدالآباد
абар	ابر
абарқудрат	ابرقدرت
абарқудратӣ	ابرقدرتي
абармард	ابرمرد
абас	عبث
аббос	عباس
аббосиён	عباسيان
аббосия	عباسيه
аббосӣ	عباسي
абвоб	ابواب
абгор	ابگار
абгорӣ	ابگاري
абд	عبد
абдол	ابدال
абе	ابي
абедониш	ابي دانش
абера	ابيره
абеша	ابيشه
абёт	ابيات
абзол	ابزال
абзор	ابزار
абзордон	ابزاردان
абзорсоз	ابزارساز
абзорсозӣ	ابزارسازي
абзорфурӯш	ابزارفروش
абзорфурӯшӣ	ابزارفروشي
абир	عبير
абирафшон	عبيرافشان
абироганд	عبيرآگند
абиромез	عبيرآميز
абирсиришт	عبيرسرشت
абирфишон	عبيرفشان
абкам	ابکم
абқарӣ	عبقري
аблағ	ابلغ
аблақ	ابلق
аблақӣ	ابلقي
аблақсавор	ابلقسوار
аблаҳ	ابله
аблаҳваш	ابله وش
аблаҳвор	ابله وار
аблаҳӣ	ابلهي
аблаҳнамо	ابله نما
аблаҳона	ابلهانه
аблаҳфиреб	ابله فريب
аблаҳфиребӣ	ابله فريبي
аблаҳфиребона	ابله فريبانه
абно	ابنا
абобил	ابابيل
абр	ابر
абра	ابره
абраастар	ابره استر
абрақ	ابرق
абрақӣ	ابرقي
абрандуд	ابرندود
абранҷан	ابرنجن
абрас	ابرص
абраш	ابرش
абрбанд	ابربند
абрбандӣ	ابربندي
абргирифта	ابرگرفته
абрдор	ابردار
абрешим	ابريشم
абрешимбаҳо	ابريشم بها
абрешимборӣ	ابريشم باري
абрешимбоф	بريشم باف
абрешимбофӣ	ابريشم بافي
абрешимвор	ابريشم وار
абрешимворӣ	ابريشم واري
абрешимгун	ابريشم گون
абрешимдӯз	ابريشم دوز
абрешимдӯзӣ	ابريشم دوزي
абрешимин	ابريشمين
абрешимӣ	ابريشمي
абрешимкашӣ	ابريشم کشي
абрешимкор	ابريشم کار
абрешимкорӣ	ابريشم کاري
абрешиммонанд	ابريشم مانند
абрешимранг	ابريشم رنگ
абрешимрес	ابريشم ريس
абрешимресӣ	ابريشم ريسي
абрешимтоб	ابريشم تاب
абрешимтобӣ	ابريشم تابي
абрӣ	ابري
абрногузар	ابرناگذر
абрнок	ابرناک
абрнокӣ	ابرناکي
абролуд	ابرآلود
абролуда	ابرآلوده
аброр	ابرار
абрпора	ابرپاره
абрпӯш	ابرپوش
абрсифат	ابرصفت
абртӯда	ابرتوده
абрӯборик	ابروباريک
абрӯдароз	ابرودراز
абрӯкамон	ابروکمان
абрӯкушода	ابروکشاده
абрӯкушодагӣ	ابرو کشادگي
абрӯқалам	ابروقلم
абрӯпайваст	ابروپيوست
абрӯсиёҳ	ابروسياه
абрӯфарох	ابروفراخ
абрӯфарохӣ	ابروفراخي
абрӯҳилол	ابروهلال
абрӯчинак	ابروچينک
абрӯчинӣ	ابروچيني
абсорбсия	ابساربسيه
абстракт	ابسترکت
абстрактсионизм	ابسترکتسيانزم
абстрактсионист	ابسترکتسيانيست
абстрактсия	ابسترکتسيه
абстрактӣ	ابسترکتي
абтар	ابتر
абул	ابول
абулбашар	ابوالبشر
абулҳавл	ابوالهول
абус	عبوس
абхозӣ	ابخازي
абҳар	عبهر
абҳарӣ	عبهري
абҷад	ابجد
абҷадхон	اجدخوان
абҷадхонӣ	ابجدخواني
абъад	ابعد
абъод	ابعاد
абяз	ابيض
ав-ав	اواو
авасто	اوستا
авастоӣ	اوستائي
авборидан	اوباريدن
авбош	اوباش
авбошӣ	اوباشي
авбошона	اوباشانه
аввал	اول
аввала	اوله
аввалан	اولاً
аввалин	اولين
аввалиндараҷа	اولين درجه
аввалия	اوليه
аввалӣ	اولي
аввалмақом	اول مقام
аввало	اولا
аввалҳо	اول ها
аввалшахс	اول شخص
авво	عوا
август	اوگست
августӣ	اوگستي
авд	عود
авесто	اوستا
авзоъ	اوضاع
авиа	اوئه
авиапочта	اوئه پاچته
авиатсионӣ	اوئتسياني
авиатсия	اوئتسيه
авис	عويص
авитаминоз	اويتميناز
авқот	اوقات
авқотворӣ	اوقاتواري
авқотпазӣ	اوقاتپزي
авқотталх	اوقاتتلخ
авқотталхӣ	اوقاتتلخي
авқотхӯрӣ	اوقاتخوري
авқоф	اوقاف
авл	عول
авлавият	اولويت
авлиё	اوليا
авлитар	اوليتر
авло	اولا
авлод	اولاد
авлодӣ	اولادي
авоил	اوائل
авоқиб	عواقب
авом	عوام
авомона	عوامانه
авомуннос	عوام الناس
авомфаҳм	عوام فهم
авомфиреб	عوام فريب
авомфиребӣ	عوا م فريبي
авомфиребона	عوام فريبانه
авон	اوان
авора	اواره
авориз	عوارض
авосит	اواسط
авосиф	عواصف
авотиф	عواطف
авохир	اواخر
авранг	اورنگ
авранд	اورند
аврандидан	اورنديدن
аврат	عورت
авринг	اورينگ
аврод	اوراد
авродхонӣ	اورادخواني
авроқ	اوراق
аврупоидӯхт	اوروپاي دوخت
аврупоӣ	اوروپاي
авсат	اوسط
авсоф	اوصاف
авсун	اوسون
автобус	اوتابوس
автогенӣ	اوتاگيني
автодром	اوتادرام
автокран	اوتاکرن
автомат	اوتامت
автоматика	اوتامتيکه
автоматӣ	اوتامتي
автоматонидан	اوتامتانيدن
автоматонӣ	اوتامتاني
автоматчӣ	اوتامتچي
автомашина	اوتامشينه
автомобил	اوتامابيل
автомобилгард	اوتامابيل گرد
автомобилӣ	اوتامابيلي
автомобилрон	اوتامابيل ران
автомобилронӣ	اوتامابيل راني
автомобилсозӣ	اوتامابيل سازي
автон	اوطان
авторучка	اوتاروچکه
автосистерна	اوتاسيستيرنه
авул	اول
авф	عوف
авфар	اوفر
авҳом	اوهام
авҷ	اوج
авҷгирӣ	اوج گيري
авҷнавард	اوج نورد
авҷпар	اوج پر
авҷрав	اوج رو
агар	اگر
агарчанд	اگرچند
агарчи	اگرچه
агент	اگينت
агентӣ	اگينتي
агломерат	اگلاميرت
агломератсия	اگلاميرتسيه
агноститсизм	اگناستيتسيزم
аграрӣ	اگرري
агрегат	اگريگت
агробиология	اگرابئالاگيه
агробиологӣ	اگرابئالاگي
агроном	اگرانام
агрономия	اگراناميه
агрономӣ	اگرانامي
агротехника	اگراتخنيکه
агротехникӣ	اگراتخنيکي
агрофизика	اگرافيزيکه
агрохимия	اگراخيميه
ағарр	اغر
ағба	اغبه
ағбар	اغبر
ағбарӣ	اغبري
ағёр	اغيار
ағзия	اغزيه
ағлаб	اغلب
ағлот	اغلاط
ағниё	اغنيا
ағолуқ	اغالق
ағонисаро	اغاني سرا
ағонӣ	اغاني
адд	عد
адаб	ادب
адабдон	ادب دان
адабдонӣ	ادب داني
адабдӯст	ادب دوست
адабдӯстӣ	ادب دوستي
адабиёт	ادبيات
адабиётдӯст	ادبيات دوست
адабиётдӯстӣ	ادبيات دوستي
адабиётшинос	ادبيات شناس
