Дар ақсои олам бигаштам басе,	در اقصای عالم بگشتم بسی
Ба сар бурдам айём бо ҳар касе.	به سر بردم ایام با هر کسی
Чу покони Шерози хокиниҳод,	چو پاکان شیراز، خاکی‌نهاد
Надидам, ки раҳмат бар ин хок бод!	ندیدم، که رحمت بر این خاک باد
Таваллои мардони ин покбум,	تولای مردان این پاک‌بوم
Барангехтам хотир аз Шому Рум.	برانگیختم خاطر از شام و روم
На қанде, ки мардум ба сурат хӯранд,	نه قندی که مردم به صورت خورند
Ки арбоби маънӣ ба коғаз баранд.	که ارباب معنی به کاغذ برند
Яке боби адл асту тадбиру рой,	یکی باب عدل است و تدبیر و رای
Нигаҳбонии халқу тарси худой:	نگهبانی خلق و ترس خدای
Савӯм боби ишқасту мастиву шӯр,	سوم باب عشق است و مستی و شور
На ишқе, ки банданд бар худ ба зӯр;	نه عشقی که بندند بر خود بزور
Чаҳорӯм тавозеъ; ризо панҷӯмин;	چهارم تواضع، رضا پنجمین
Шашӯм зикри марди қаноатгузин;	ششم ذکر مرد قناعت‌گزین
Ба ҳафтӯм дар аз олами тарбият;	به هفتم در، از عالم تربیت
Ба ҳаштӯм дар аз шукр бар офият;	به هشتم در، از شُکر بر عافیت
Ба рӯзи ҳумоюну соли саид,	به روز همایون و سال سعید
Ба таърихи фаррух миёни ду ид,	به تاریخ فرّخ میان دو عید
Зи шашсад фузун буд панҷоҳу панҷ	ز ششصد فزون بود پنجاه و پنج
Ки пур дур шуд ин номбардор ганҷ.	که پُر دُر شد این نامبردار گنج
Қабо гар ҳарирасту гар парниён	قبا گر حریر است و گر پرنیان
Ба ночор ҳашваш бувад дар миён.	به ناچار حَشوَش بود در میان
Нанозам ба сармояи фазли хеш,	ننازم به سرمایهٔ فضلِ خویش
Ба дарвеза овардаам даст пеш...	به دریوزه آورده‌امْ دستْ پیش
Чу байте писанд оядат аз ҳазор,	چو بیتی پسند آیدت از هزار
Ба мардӣ, ки даст аз тааннут бидор!	به مردی، که دست از تَعنَّت بدار
Гул овард Саъдӣ сӯи бӯстон,	گل آورد سعدیْ سوی بوستان
Ба шӯхӣ чу фулфул ба Ҳиндустон,	به شوخی و فلفل به هندوستان
Чу хурмо ба ширинӣ андуда пӯст,	چو خرما به شیرینی اندوده پوست
Чу бозаш кунӣ устухоне дар ӯст	چو بازش کنی استخوانی در اوست
Вале назм кардам ба номи фалон,	ولی نظم کردم به نام فلان
Магар боз гӯянд соҳибдилон,	مگر باز گویند صاحبدلان
Ки Саъдӣ, ки гӯи балоғат рабуд,	که سعدی که گوی بلاغت ربود
Дар айёми Бӯбакр бин Саъд буд	در ایام بوبکر بن سعد بود
Кулаҳгӯша бар осмони барин,	کله گوشه بر آسمان برین
Ҳанӯз аз тавозӯъ сараш бар замин.	هنوز از تواضع سرش بر زمین
Ҳама вақт мардум зи ҷаври замон,	همه وقت مردم ز جور زمان
