аз эрону турон ба нахчир тафт	از ایران و توران بنخچیر تفت
ғаму ранҷу сахтӣ ки ман бурдаам	غم و رنج وسختی که من برده‌ام
ки ковусро бегумон бад расад	که کاووس را بی‌گمان بد رسد
бигӯяш ки ман кеҳтаре чораҷӯй	بگویش که من کهتری چاره‌جوی
сари ахтар андар канори ман аст	سر اختر اندر کنار منست
гурозон саворон дамону данон	گرازان سواران دمان و دنان
бар он ҳар касе дил бипардохтанд	وزان هرکسی دل بپرداختند
бараҳман ба кӯҳ- андарун ҳар кӣ ҳаст	برهمن بکوه اندرون هرک هست
ки ӯро ба наздики мунзар барад	که او را به نزدیک منذر برد
сухан доштӣ ёду ҳамроҳи хеш	سخن داشتی یارهمراه خویش
гар эдун ки бошем пирӯзгар	گر ایدون که باشیم پیروزگر
шуморо супурд он замон нимрӯз	شما را سپرد آن زمان نیمروز
ба ҷойи сазовор биншонданд	به جای سزاوار بنشاندند
надидам набудаш касе раҳнамой	ندیدم نبودش کسی رهنمای
чунин гуфт к-эй аз каён ёдгор	چنین گفت کای از کیان یادگار
ҳаме рози хеш аз ту дорад ниҳон	همی راز خویش از تو دارد نهان
сухан гуфт бо ӯ падар низ дер	سخن گفت با او پدر نیز دیر
ниёишкунон пеши яздони пок	نیایش کنان پیش یزدان پاک
чу бишнид бобак фурӯ рехт об	چو بشنید بابک فرو ریخت آب
шавад дашт яксар чу дарёи хун	شده دشت یکسر چو دریای خون
чу омад ба дидор аз анбӯҳ нев	چو آمد پدیدار از انبوه نیو
чунон лашкареро гирифта ба банд	چنان لشکری را گرفته به بند
ба рӯи замин барниҳоданд рӯй	بروی زمین برنهادند روی
бигуфтанд к-ин шаҳрҳои фарох	بگفتند کاین شهرهای فراخ
биёвард баста бари шаҳрёр	بیاورد بسته بر شهریار
ки аз ман мадоред чизе нуҳуфт	که از من مدارید چیزی نهفت
чу бар тезрав борагӣ барнишаст	چو بر تیز رو بارگی بر نشست
фарибурз тусу ялонро бихонд	فریبرز طوس و یلان را بخواند
чу бишнид пирон бихандиду гуфт	چو بشنید پیران بخندید و گفت
намонд эч бар найзаҳошон синон	نماند ایچ بر نیزه‌هاشان سنان
мабодо зи ту тахт пардахту гоҳ	مبادا ز تو تخت پردخت و گاه
навишта яке аҳди шоҳаншаҳон	نبشته یکی عهد شاهنشهان
ба сӯи амуд омад аз тирахок	به سوی عمود آمد از تیره خاک
биёмад хирадманд назди қубод	بیامد خردمند نزد قباد
ки эй баднажоди фурӯмояҷуфт	که ای بدنژاد فرومایه جفت
бад-он бандагӣ тез биштофтӣ	بدان بندگی تیز بشتافتی
биёмад дижам аз бари гоҳи ӯй	بیامد دژم از بر گاه اوی
к -азон бартар андоза натвон гирифт	کزان برتر اندازه نتوان گرفت
чу омад ба ковусшоҳ огаҳӣ	چو آمد به کاووس شاه آگهی
ситонад зи ганҷе дирам сахта панҷ	ستاند ز گنج درم سخته پنج
к-аз эшон аз ин пас нахоҳем ҷанг	کزیشان ازین پس نجوییم جنگ
ҳама паҳлавонони эронсипоҳ	همه پهلوانان ایران و شاه
ҳамон бахти бад комгорӣ бибурд	همان بخت بد کام‌کاری ببرد
дигар сӯй шедӯшу харроди гурд	دگر سو بشیدوش و خراد گرد
чу шуд шоҳ бодонишу фарру зӯр	چو شد شاه با دانش و فر و زور
магар ёди ин бад ба хоб омадаш	مگر یاد زین بد بخواب آمدش
ҳамон рӯзи ранҷ-андар ором гашт	همان روز رزم اندر آرام گشت
ҳам андар ситоиш бияфзоияш	هم اندر ستایش بیفزایدش
зи ту бишнавам ҳарчӣ гӯӣ сухун	ز تو بشنوم هر چه گویی سخن
