Диего Веласкес	دیه‌گو ولاسکز
Жорж Помпиду	ژرژ پمپیدو
Жуссие	یوناس
Скотт	اسکات
Талабонӣ	طالبانی
Ҳалдун Бойсан	هالدون بویسان
Вилҳелм Эдуард Вебер	ویلهلم ادوارد وبر
Фред Астер	فرد آستر
Вилҳелм Буш	ویلهلم بوش
Муҳаммад аз-Зенатӣ	محمد الزناتی
Роберт Фрост	رابرت فراست
Николас Отаменди	نیکولاس اوتامندی
Гайнор	گینور
Шкелзeн Гaши	اشکلزن گاشی
Малайка Арора	مالایکا آرورا
Бернард Ҷой	برنارد جوی
Дэвид Бентли	دیوید بنتلی
Сезар Касерес	سزار کاسرز
Пиетер Аертсен	پیتر آرتسن
Рэй Парк	ری پارک
Сакристан	ساکریستن
Варкен	وارکن
Алексей Писемский	آلکسی پیسیمسکی
Хуан Антонио Писси	خوان آنتونیو پیزی
Свейн	اسواین
Йнклан	یانکلن
Масъуд	مسعود
Родригес	رودریگز
Анӯштегин	انوشتکین
Колса	کالسا
Пауло Ненезес	پائولو مندز
Хуан Ортис	خوانما اورتیز
Шамси Табрезӣ	شمس تبریزی
Баҳо Ҳарирӣ	بها حریری
Андрей Сахаров	آندره ساخاروف
фон Вайтсзеккер	فون وایتسکر
Сафокл	سوفوکل
Пётр	پتر
Стив Ҷобс	استیو جابز
Эддисон	آدیسون
Ҳелен Келлер	هلن کلر
Майкл Ҷордан	مایکل جردن
Виктор Валдес	ویکتور والدز
Лени Рифенштал	لنی ریفنشتال
Саид Алӣ Хоменеӣ	سید علی خامنه‌ای
Шукрӣ Қувватлӣ	شکری قوتلی
Римский-Корсаков	ریمسکی-کورساکف
Норберто Алонсо	نوربرتو آلونسو
Ян Вестлейк	ایان وستلیک
Фамке Янссен	فامک جانسن
Жорж Батай	ژرژ باتای
Ботҳа	بوتا
Крейг Нун	کریگ نون
Уоодуард	وودوارد
Амбедкар	آمبدکار
Мануэл Флейтас Солич	مانوئل فلیتاس سولیچ
Мария Башкирцева	ماری باشکیرتسف
Павел Эбботт	پاول ابوت
Маурис Норман	موریس نورمن
Кофи Аннан	کوفی عنان
Мао Тседун	مائو تسه‌تونگ
Абубакр Абдулкалом	ابوبکر عبدالکلام
Мун	کی‌مون
Эмили Дикинсон	امیلی دیکنسون
Шумахер	شوماخر
Томас Ҷефферсон	توماس جفرسون
Маринйо	مارینیو
Матиас Фернандес	ماتیاس فرناندز
Терий Гиллиам	تری گیلیام
Лауреано Руис	لورانو رویز
Дани Гиса	دنیل گویزا
Виэтто	ویئتو
Гас Поет	گاس پویت
Адайлтон	آدیلتون
