гимнастика	ژیمناستیک
Паймони Атлантики	ناتو
Антанта	تفاهم
Сочи	سوچی
Анапа	آناپا
Устиё	اوستیا
Мате-Йехуда	آماری ماتیه یهودا
Ванкувер	ونکوور
Квебек	کبک
Монреал	مونترآل
Калкутта	کلکته
Калкутта	کلکته
Тринитӣ	ترینیتی
Масеҳ	مسیح
Масеҳ	مسیح
Масеҳ	مسیح
Масеҳ	مسیح
Масеҳ	مسیح
Масеҳ	مسیح
Масеҳ	مسیح
Масеҳ	مسیح
Масеҳ	مسیح
Бонки аврупоии бозсозӣ ва тавсеъа	بانک اروپایی بازسازی و توسعه
Бонки бозсозӣ ва рушд	بانک بازسازی و توسعه
Бонки тавсеъаи осиёӣ	بانک توسعه آسیایی
Бонки тавсеъаи исломӣ	بانک توسعه اسلامی
байналмилалии	بین‌الملل
Новгони Уқёнуси Ором	ناوگان اقیانوس آرام
Новгони Уқёнуси Ором	ناوگان اقیانوس آرام
Новгони Уқёнуси Ором	ناوگان اقیانوس آرام
Новгони Уқёнуси Ором	ناوگان اقیانوس آرام
Новгони Уқёнуси Ором	ناوگان اقیانوس آرام
Фукушима	فوکوشیما
Ҳамаматсу	هاماماتسو
Нара	نارا
Нагано	ناگانو
Оказаки	اوکازاکی،
Сагамиҳара	ساگامیهارا،
Ҳачиоҷи	هاچی‌اوجی،
Тачикава	تاچیکاوا،
Яшио	یاشیئو،
Яшио	یاشیئو،
Яшио	یاشیئو،
Яшио	یاشیئو،
Яшио	یاشیئو،
Сукре	سوکره
Висбаден	ویسبادن
Йена	ینا
Мюнстер	مونستر
Виттмунд	ویتموند
Зулинген	زولینگن
Гёттинген	گوتینگن
Штутгарт	اشتوتگارت
Ҳамм	هام
Калисои Сербия	کلیسای صربی
Калисои ортодоксии Укроин	کلیسای ارتدکس اوکراین
Калисои ортодоксии Олбонӣ	کلیسای ارتدکس آلبانی
Йоҳаннесбург	ژوهانسبورگ
Ситии Лондон	سیتی لندن
Дакка	داکا
Сидней	سیدنی
Франкфурт	فرانکفورت
Токио	توکیو
Лондон	لندن
Мелбурн	ملبورن
Торонто	تورنتو
Москва-Ситӣ	کسب
Мюнхен	مونیخ
Мюнхен	مونیخ
Мюнхен	مونیخ
Мюнхен	مونیخ
Мюнхен	مونیخ
Мюнхен	مونیخ
Мюнхен	مونیخ
Мюнхен	مونیخ
Мюнхен	مونیخ
Шанхай	شانگهای
Окленд	اوکلند
Донишгоҳи Куинс	دانشگاه کوئینز
Донишгоҳи Торонто	دانشگاه تورنتو
БелАЗ	بلاز
Ҳизби Олмон	حزب آلمان
Судон	سودان
Муштаракулманофеи Лаҳистон-Литва	مشترک‌المنافع لهستان–لیتوانی
Рум	روم
Селевкиён	سلوکیان
Донишгоҳи Чорл	دانشگاه چارلز
Юон	یوآن
Лу	لو
Утриш-Маҷористон	اتریش-مجارستان
