پایان ماموریت ناتو در افغانستان نگرانیهایی‌را برای کشورهای آسیای میانه‌ در پی داشته است,поёни маъмурияти ноту дар афғонистон нигарониҳоро барои кишварҳои осиёи миёна дар пай доштааст
زیرا عده زیادی از اتباع این کشورها در صف طالبان و دیگر گروههای شورشی در افغانستان می‌جنگند,зеро иддаи зиёде аз атбоъи ин кишварҳо дар сафи толибон ва дигар гурӯҳҳои шӯришӣ дар афғонистон меҷанганд
همچنین یکی از مسیرهای قاچاق مواد مخدِّر از افغانستان به اروپا از کشورهای آسیای میانه‌ از جمله تاجیکستان می‌گذرد,ҳамчунин яке аз масирҳои қочоқи маводи мухаддир аз афғонистон ба урупо аз кишварҳои осиёи миёна аз ҷумла тоҷикистон мегузарад
تاجیکستان گفته که بدون کمک دیگر کشورها مقابله با افراطگرايی برایش سخت خواهد بود,тоҷикистон гуфта ки бидуни кумаки дигар кишварҳо муқобала бо ифротгароӣ барояш сахт хоҳад буд
سهراب ضیا از شهر دوشنبه گزارش می‌دهد,сӯҳроби зиё аз шаҳри душанбе гузориш медиҳад
امامعلی رحمان نقش ضیائیان کشور‌را به عنوان قوه پیشبرنده جامعه در بقای ارزشهای ملی زبان دولتی و دولتداری دموکراتیک و دنیوی مهم خواند,эмомалӣ раҳмон нақши зиёиёни кишварро ба унвони қувваи пешбарандаи ҷомеа дар бақои арзишҳои миллӣ забони давлатӣ ва давлатдории демукротику дунявӣ муҳим хонд
او در پیام خود عنوانی ضیائیان کشور در رابطه به جشن نوروز آنها‌را به تشویق خودآگاهی و خودشناسی و آیین مدارا دعوت کرده است,ӯ дар паёми худ унвонии зиёиёни кишвар дар робита ба ҷашни наврӯз онҳоро ба ташвиқи худогоҳиву худшиносӣ ва ойини мудоро даъват кардааст
آقای رحمان در سخنرانی‌اش از جمله گفت,оқои раҳмон дар суханрониаш аз ҷумла гуфт
این قشر بانفوذ جامعه باید بعدا نیز در توسعه خودآگاهی و خودشناسی ترغیب مفکوره ملی و غایه‌‌های وطن‌دوستی حفظ عنعنه‌های فرهنگی و پایداری زبان دولتی همچون بقای ملت نقش اساسی‌را اجرا نماید و حامی واقعی ارزشهای نیک این مرز و بوم باشد,ин қишри бонуфузи ҷомеа бояд минбаъд низ дар тавсеаи худогоҳиву худшиносӣ тарғиби мафкураи миллӣ ва ғояҳои ватандӯстӣ ҳифзи анъанаҳои фарҳангӣ ва пойдории забони давлатӣ ҳамчун бақои миллат нақши асосиро иҷро намояд ва ҳомии воқеии арзишҳои неки ин марзу бум бошад
رئیس جمهور تاجیکستان در این سخنرانی گفت که زمان آن فرا رسیده است که عالمان و محققان برای توسعه مفکوره ملت پیشنهادهای خود‌را برای کنسپسیون ملی رشد تاجیکستان تا سال ارائه کنند,раиси ҷумҳури тоҷикистон дар ин суханронӣ гуфт ки замони он фаро расидааст ки олимону муҳаққиқон барои тавсеъаи мафкураи миллат пешниҳодҳои худро барои консепсияи миллии рушди тоҷикистон то соли ироа кунанд
آقای رحمان در این زمینه تاکید کرد,оқои раҳмон дар ин замина таъкид кард
در چنین حالت وظیفه ضیائیان از آن عبارت می‌گردد که هنگام منظور کردن پیشنهادهای خود به این کنسپسیون اصل دنیویت‌را افضل دانسته برای رشد تفکر ملی و دنیوی جهد و تلاش نمایند,дар чунин ҳолат вазифаи зиёиён аз он иборат мегардад ки ҳангоми манзур кардани пешниҳодҳои худ ба ин консепсия принсипи дунявиятро афзал дониста барои рушди тафаккури милливу дунявӣ ҷаҳду талош намоянд
برای انجام این کار رئیس جمهور تاجیکستان دستور داده است که فرهنگستان علوم تاجیکستان و مرکز پژوهشهای استراتژیک برای تهیه یک چنین کنسپسیون یک گروه کاری ویژه عبارت از عالمان و دانشمندان تاسیس بدهند و لایحه کنسپسیون‌را به دولت پیشنهاد کنند,барои анҷоми ин кор раиси ҷумҳури тоҷикистон дастур додааст ки фарҳангистони улуми тоҷикистон ва маркази пажуҳишҳои истротежик барои таҳияи як чунин кунсепсиюн як гурӯҳи кории вижаи иборат аз олимону донишмандон таъсис бидиҳанд ва лоиҳаи консепсиюнро ба давлат пешниҳод кунанд
آقای رحمان در این باره گفت,оқои раҳмон дар ин бора гуфт
این کنسپسیون باید به بنیاد جامعه معاصر دموکراتی حقوقبنیاد و دنیوی مساعدت نماید و آینده رشد کشور ما‌را معین گرداند,ин консепсия бояд ба бунёди ҷомеаи муосири демократӣ ҳуқуқбунёд ва дунявӣ мусоидат намояд ва ояндаи рушди кишвари моро муайян гардонад
