Ҳаводиси рӯзҳои охар дар Эрон тамоми ҷаҳонро ба худ ҷалб намуда	حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده
Мутмаъинам ки мардуми Тоҷикистон ҳам аз аҳволи Эрон нигарон ҳастанд	مطمئنم که مردم تاجیکستان هم از احوال ایران نگران هستند
Инҷониб шахсан ҳам хеле нигарони авзоъи Эрон ҳастам	اینجانب شخصاً هم خیلی نگران اوضاع ایران هستم
Ба хонадони ҳашт нафари кушта шуда тасаллият арз мекунам	به خاندان هشت نفر کشته شده تسلی عرض می‌کنم
Инҳо ҷавононе буданд ки фақат мехостанд аз ҳуқуқи худ ва аз ҳуқуқи миллати Эрон дифоъ кунанд	این‌ها جوانانی بودند که فقط می‌خواستند از خقوق خود و حقوق ملت ایران دفاع نمایند
Шояд бисёриҳо бо хондани охарин нигориши банда рӯйи торнигор фикр карданд ки ман аз ин ё он номзад пуштибонӣ мекунам ки қатъан ин гуна нест	شاید بسیاری‌ها با خواندن آخرین نگارش بنده روی تارنگار فکر کردند که من از این یا آن نامزد پشتبانی می‌کنم که قطعاً این گونه نیست
Банда мудофеъи кӯчаки миллат ва шукӯҳу ҳашамати миллати Эрон манзур аз тамоми эрониён ё худ тоҷикон аст ҳастам ва ҳамчунин мудофеъи кӯчаки истиқлоли миллат ҳастам	بنده مدافع کوچک ملت وشکوه و حشمت ملت ایران منظور از تمام ایرانیان یا خود تاجیکان است هستم و همچنین مدافع کوچک استقلال ملت هستم
Мутаасифона торихи сарзамини мо нишон дода ки чунин иттифоқоти фаровоне уфтода ки бегонагон дасти худро ба марзу буми мо дароз мекунанд ва ҳар гуна бе низомиҳоро дар кишвар ҷорӣ менамоянд	متاسفانه تاریخ سرزمین ما نشان داده که چنین اتفاقاتی فراوانی افتاده که بیگانگان دست خودرا به مرز و بوم ما دراز می‌کنند و هر گونه بی نظامی‌هارا در کشور جاری می‌نمایند
Ҳамин аст ки то он замоне ки далоили бештаре мабнӣ бар тақаллубот дар интихобот надидам чизи зиёде дар ин бора нагуфтам	همین است که تا آن زمانی که دلائل بیشتری مبنی بر تقلبات در انتخابات ندیدم چیزی زیادی در این باره نگفتم
Шӯрбахтона ба назар меояд ки тақаллубот дар ин интихобот дар воқеъ рух дода	شوربختانه به نظر می‌آید که تقلبات در این انتخابات در واقع رخ داده
Албатта наметавон мутмаъин буд ки ин пирӯзи воқеъиро метавонад тағйир диҳад ё хайр	البته نمی‌توان مطمئن بود که این پیروز واقعی‌را می‌تواند تغییر دهد یا خیر
Умедворам ки авзоъ дар Эрон ором гардад ва ҳамчунин ба орои мардум эҳтиром гузошта шавад	امیدوارم که اوضاع در ایران آرام گردد و همچنین به آرای مردم احترام گذاشته شود
Ба назари инҷониб дар воқеъ баргузории интихоботи муҷаддад дар кишвар беҳтарин роҳ аст то тамоми шубҳаҳо бартараф гарданд	به نظر اینجانب در واقع برگذاری انتخابات مجدد در کشور بهترین راه است تا تمام شبهه‌ها برطرف گردند
Ба назар мерасад дар чорчӯби қонуни асосии Ҷумҳурии Исломӣ бисёр тахуллуфоте дар раванди интихобот ба вуқӯъ пайваста	به نظر می‌رسد در چارچوب قانون اساسی جمهوری اسلامی بسیار تخلفاتی در روند انتخابات به وقوع پیوسته
Имрӯз Шӯрои нигаҳбони қонуни асосии Ҷумҳурии Исломии Эрон ҳам эълом намуда ки қазияро баррасӣ хоҳад намуд	امروز شورای نگهبان قانون اساسی جمهوری اسلامی ایران هم اعلام نموده که قضیه‌را بررسی خواهد نمود
Сухангӯйи Шӯрои нигаҳбон Аббос Алии Кадхудоӣ ҳам имрӯз эълом намуда ки баргузории интихоботи муҷаддад аз эҳтимол дур нест ки воқеъан умедбахш аст	سخنگوی شورای نگهبان عباس علی کدخدایی هم امروز اعلام نموده که برگزاری انتخابات مجدد از احتمال دور نیست که واقعاً امیدبخش است
Мардуми Тоҷикистон дар воқеъ бояд миллатдӯстиву меҳандӯстиро аз ҳамқавмони дохили марзи Эрони имрӯзӣ ёд бигиранд	مردم تاجیکستان در واقع باید ملت‌دوستی و میهن‌دوستی‌را از همقومان داخل مرز ایران امروزی یاد بگیرند
Ин ҷавонони бедор аз раъйи худ аз раъйи миллати худ – аз ҳуқуқи миллати дифоъ мекунанд	این جوانان بیدار از رای خود از رای ملت خود – از حقوق ملت دفاع می‌کنند
Дар ҳоле ки рӯшан нест чӣ иттифоқе уфтода ин ҷавонон ба хиёбонҳо рехтанд то аз давлат тақозо намоянд ки ин қазия рӯшан гардад	در حالی که روشن نیست چه اتفاقی افتاده این جوانان به خیابان‌ها ریختند تا از دولت تقاضا نمیاند که این قضیه روشن گردد
Банда ба ҳеч ваҷҳ аз хушунат пуштибонӣ намекунам балки аз бедорӣ	بنده به هیچ وجه از خشونت پشتبانی نمی‌کنم بلکه از بیداری
Мӯътаризон ҳам ҳаддиақал аксарияти кулли онон хушунат намехоҳанд ва танҳо мехоҳанд ба раъйи онҳо эҳтиром гузошта шавад	معترضان هم حداقل عکثریت کل آنان خشونت نمی‌خواهند و تنها می‌خوهند به رای آن‌ها احترام گذاشته شود
Ҷавонони Эрон дар воқеъ бедоранд ва ватандӯстанд ки рӯзи интихобот ба пойи сандуқҳои раъй рехтанд ва пас ба хиёбонҳо ҳам рехтанд	جوانان ایران در واقع بیدارند و وطن‌دوستند که روز انتخابات به پای صندوق‌های رای ریختند و پس به خیبان‌ها هم ریختند
Албатта дар ин ҳолат бархурди нерӯҳои интизомӣ бисёр шигифтовар аст ки бо ҷавонони кишвари худ чунин бурхурд менамоянд	البته در این حالت برخورد نیروهای انتظامی بسیار شگفت‌آور است که با جوانان کشور خود چنین برخورد می‌نمایند
Умеди дигар ин аст ки нерӯҳои бегона ҳеч иқдоме накунанд	امید دیگر این است که نیروهای بیگانه هیچ اقدامی نکنند
Ин қазияи доҳилии Эрон аст ва умед бар худойро ки мӯътаризон ҳам ҳушёр хоҳанд буд ки дасти нерӯҳои бегона ба дасти Эрони азиз нарасад	این قضیه‌ی داخلی ایران است و امید بر خدای‌را که معترضان هم هوشیار خواهند بود که دست نیروهای بیگانه به ایران عزیز نرسد
Зинда бод Эрон	زنده باد ایران
Душанбе хурдоди	دوشنبه خرداد
Аз замони инқилоб фарҳангиён ва воридбакорон дар бораи фурӯрезии низоми Эрон пешгӯӣ мекарданд	از زمان انقلاب فرهنگیان و واردبکاران در باره‌ی فروریزی نظام ایران پیشگویی می‌کردند
Ин ҳафта ҳам пешгӯии беҳтаре накарданд	این هفته هم پیشگویی بهتری نکردند
Аббоси Барзагар	عباس برزگر
баргирифта аз Гордиён	برگرفته از گاردین
Ман дақиқан як ҳафта дар Эрон дар ҳоли пӯшиши корноволи интихоботии ҳастам	من دقیقاً یک هفته در ایران در حال پوشش کارناوال انتخاباتی هستم
Аз рӯзе ки ба ин ҷо расидам андак ашхосе шак доштанд ки раиси ҷумҳури фитнаангези феълии Эрон пирӯз хоҳад шуд	از روزی که به این جا رسیدم اندک اشخاسی شک داشتند که رییس جمهور فتنه‌انگیز فعلی ایران پیروز خواهد شد
