خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
روبروی بی‌حریفان خطری در راه است,рӯбарӯи беҳарифон хатаре дар роҳ аст
بعد هم دست ستم می‌شکند بی‌تردید,баъд ҳам дасти ситам мешиканад бетардид
دست‌آویز اهورانگری‌ در راه است,дастовези аҳуронигаре дар роҳ аст
هر که از غصهٔ ما بادهٔ شادی می‌خورد,ҳар ки аз ғуссаи мо бодаи шодӣ мехурд
شوکرانی ته جامش شکری در راه است,шавкароне таҳи ҷомаш шакар-е дар роҳ аст
در دل بیشهٔ اهریمنی رنگ و ریا,дар дили бешаи аҳримании рангу риё
بی‌امان با دل و ایمان تبری در راه است,беамон бо дилу имон табаре дар роҳ аст
خبری هست که از اوج دروغ افتادید,хабаре ҳаст ки аз авҷи дурӯғ уфтодед
چونکه دانای کد خیر و شری در راه است,чунки донои куди хайру шаре дар роҳ аст
بی‌ثمر بود اگر جهد من و ما تا حال,бесамар буд агар ҷаҳди ману мо то ҳол
حال گویند که برایش ثمری در راه است,ҳол гӯянд ки барояш самаре дар роҳ аст
بی‌صواب بود اگر این همه فریاد و نحیب,бесавоб буд агар ин ҳама фарёду наҳиб
قصه وارونه شده هان اگری در راه است,қисса воруна шуда ҳон агар-е дар роҳ аст
خبر این است خبر فوری دنیا این است,хабар ин аст хабари фаврии дунё ин аст
که یل رامگر گاو و خری در راه است,ки яли ромгари гову харе дар роҳ аст
درست سال پیش در همین ساعات جوخه مرگ بلشویک‌ها به دستور سردمدارشان ولادیمیر اولیانف لنین واپسین خانواده سلطنتی روسیه‌را در شهر یِکاتِرین‌بورگ در غرب سیبری به رگبار بست,дуруст сол пеш дар ҳамин соъот ҷӯхаи марги булшевикҳо ба дастури сардамдорашон влодимир улёнуф ленин вопасин хонаводаи салтанатии русияро дар шаҳри екотеринбург дар ғарби сибрӣ ба рагбор баст
تزار نیکُلای دوم و همسرش آلکساندرا و پنج فرزندشان اُلگا تاتیانا ماریا آناستاسیا و آلکسی در خون همدیگر غلطیدند و مردند,тезор никулойи дувум ва ҳамсараш олексондро ва панҷ фарзандашон улго тотёно мориё оностосиё ва олексей дар хуни ҳамдигар ғалтиданду мурданд
به هنگام مرگ اُلگا تاتیانا ماریا آناستاسیا و آلکسی سال داشتند,ба ҳангоми марг улго тотёно мориё оностосиё ва олексей сол доштанд
شاهزاده آلکسی که انتظار می‌رفت روزی به تاج و تخت روسیه برسد گرفتار هموفیلی بود؛ بیماری‌ای که در بسیاری از خانواده‌های سلطنتی اروپای سده‌های و شایع بود و آلکسی از مادرش به ارث برده بود,шоҳзода олексей ки интизор мерафт рӯзе ба тоҷу тахти русия бирасад гирифтори ҳемуфилӣ буд беморие ки дар бисёре аз хонаводаҳои салтанатии урупои садаҳои ва шоеъ буд ва олексей аз модараш ба ирс бурда буд
قساوت این جنایت به حدی بود که در دوران شوروی از آن یاد نمی‌شد,қасовати ин ҷиноят ба ҳадде буд ки дар даврони шӯравӣ аз он ёд намешуд
و اگر می‌شد پای لنین در میان نبود و در عوض می‌گفتند با پیشروی تند و سریع ارتش سفید هواداران سلطنت نیروهای بلشویک در منطقه اورال شوروی تصمیم به قتل بدون محاکمه تزار نیکلای و اهل خانواده‌اش گرفتند چون نگران بودند که ممکن است هواداران خاندان سلطنتی آنها‌را آزاد کنند,ва агар мешуд пои ленин дар миён набуд ва дар ъиваз мегуфтанд бо пешравии тунду сареъи артиши сафед ҳаводорони салтанат нерӯҳои булшевик дар минтақаи уроли шӯравӣ тасмим ба қатли бидуни муҳокимаи тезор никулой ва аҳли хонаводааш гирифтанд чун нигарон буданд ки мумкин аст ҳаводорони хонадони салтанатӣ онҳоро озод кунанд
اما در هشت سال نخست دستگاه تبلیغاتی شوروی بی‌شرمانه در مورد سرنوشت خاندان سلطنتی دروغ‌پراکنی می‌کرد,аммо дар ҳашт соли нахуст дастгоҳи таблиғотии шӯравӣ бешармона дар мавриди сарнивишти хонадони салтанатӣ дурӯғпароканӣ мекард
گفته شد که تزار نیکلای به قتل رسیده اما همسر و پسرش به خانه‌ای امن منتقل شده‌اند در ماه سپتامبر خبر رسمی این بود که انقلابیون دست‌چپی همه اعضای خانواده‌را کشته‌اند در ماه آوریل گفته شد که آنها اصلا به قتل نرسیده‌اند و زنده‌اند,гуфта шуд ки тезор никулой ба қатл расида аммо ҳамсару писараш ба хонае амн мунтақил шудаанд дар моли септомбри хабари расмӣ ин буд ки инқилобиюни дастичапӣ ҳамаи аъзои хонаводаро куштаанд
در حالی که همه اعضای خانواده سلطنتی در یک شب و کنار هم زیر رگبار جوجه مرگ لنین جان داده بودند,дар моҳи оврили гуфта шуд ки онҳо аслан ба қатл нарасидаанду зиндаанд дар ҳоле ки ҳамаи аъзои хонаводаи салтанатӣ дар як шаб ва канори ҳам зери рагбори ҷӯхаи марги ленин ҷон дода буданд
یوگنی بُتکین پزشک دربار آنا دِمیدوا ندیمه شهبانو آلکسی تروپ خادم دربار ایوان خاریتونف سرآشپز دربار هم که خانواده سلطنتی‌را تا آخرین نفس همراهی کردند همان‌جا کشته شدند,евгенӣ буткин пизишки дарбор оно демидуво надимаи шаҳбону олексей труп ходими дарбор ивон хоритунуф сарошпази дарбор ҳам ки хонаводаи салтанатиро то охирин нафас ҳамроҳӣ карданд ҳамонҷо кушта шуданд
در پی انقلاب فوریه و کناره‌گیری نیکلای از تاج و تخت امپراتوری روسیه دولت موقت خانواده سلطتتی‌را نخست در حصر کاخ آلکساندر پتروگراد نشاند سپس به شهر توبولسک سیبری تبعید کرد,дар паи инқилоби февриеи ва канорагирии никулой аз тоҷу тахти импротурии русия давлати муваққат хонаводаи салтанатиро нахуст дар ҳасри кохи олексондри петругрод нишонд сипас ба шаҳри тубулски сибрӣ табъид кард
بنا به خاطرات بازمانده از دختران تزار با وجود برخی از محدودیت‌ها زندگی برایشان هنوز رنگ‌وبویی داشت و می‌شد مثلا از پنجره کاخ محل اقامت‌شان به بیرون نگاه کرد و آدمان‌را دید,бино ба хотироти бозмонда аз духтарони тезор бо вуҷуди бархе аз маҳдудиятҳо зиндагӣ барояшон ҳанӯз рангу бӯе дошт ва мешуд масалан аз панҷапаи кохи маҳалли иқоматашон ба беун нигоҳ карду одамонро дид
پس از رسیدن لنین به قدرت در پتروگراد همین آزادی اندک هم از آنها ستانده شد,пас аз расидани ленин ба қудрат дар петругрод ҳамин озодии андак аз онҳо ситонда шуд
آنها در دو نوبت به یکاترین‌بورگ منتقل شدند و در اقامتگاه جدیدشان پنجره‌ها رنگ سفید خورده بود و امکان ارتباطِ حتی بصری آنها با جهان خارج به صفر رسید,онҳо дар ду навбат ба екотеринбург мунтақил шуданд ва дар иқоматгоҳи ҷадидашон панҷараҳо ранги сафед хурда буд ва имкони иртиботи ҳатто басарии онҳо бо ҷаҳони хориҷ ба сифр расид
که بلشویک‌ها آن‌را به‌زور مصادره کرده بودند تا از آن یک زندان تمامعیار بسازند,хона мутаъаллиқ ба бозаргоне бо номи никулой ипотйеф буд ки булшевикҳо онро базӯр мусодира карда буданд то аз он як зиндони тамомъайёр бисозанд
آن‌را رسما خانه خاص‌منظوره نامیدند و منظور از آن همان زندان خاندان سلطنتی بود,онро расман хонаи хосманзура дом особого назначения номиданд ва манзур аз он ҳамон зиндони хонадони салтанатӣ буд
تزار و بستگانش اجازه نداشتند از محدوده خانه خاص‌منظوره بیرون بروند,тезор ва бастагонаш иҷоза надоштанд аз маҳдудаи хонаи хосманзура берун бираванд
حتی اجازه نداشتند از روزنه کوچکی که برای تهویه باز مانده بود به حیاط خانه نگاه کنند,ҳатто иҷоза надоштанд аз равзанаи кӯчаке ки барои таҳвия боз монда буд ба ҳаёти хона нигоҳ кунанд
آناستاسیا دختر ساله تزار یک بار از این روزنه به بیرون سر کشید و سرباز شلیک کرد,оностосиё духтари тезор як бор аз ин равзана ба берун сар кашиду сарбоз шиллик кард
اعضای خانواده که بر زبان‌های روسی فرانسوی انگلیسی و آلمانی تسلط داشتند اجازه نداشتند جز به زبان روسی صحبت کنند چون زندان‌بانان‌شان همان یک زبان‌را بلد بودند,аъзои хонавода ки бар забонҳои русӣ фаронсавӣ инглисӣ ва олмонӣ тасаллут доштанд иҷоза надоштанд ҷуз ба забони русӣ суҳбат кунанд чун зиндонбононашон ҳамон як забонро балад буданд
آنها اجازه دسترسی به لوازم‌شان‌را نداشتند که در سرای محوطه نگهداری می‌شد,онҳо иҷозаи дастрасӣ ба лавозимашонро надоштанд ки дар саройи муҳаввата нигаҳдорӣ мешуд
بساط‌شان مدام بازرسی می‌شد و هرچه پول و اشیاء قیمتی یافت می‌شد برای بقای حکومت شورایی اورال به یغما می‌رفت,бисоташон мудом бозрасӣ мешуд ва ҳарчи пулу ашёи қиматӣ ёфт мешуд барои бақои ҳукумати шӯроии урол ба яғмо мерафт
فرزندان تزار علاقه خاصی به عکس‌برداری داشتند و در واقع هیچ خانواده‌ای سلطنتی در آن دوران به اندازه خاندان رُمانف از صحنه‌های زندگی خود عکس برنداشته بود,фарзандони тезор ъалоқаи хоссе ба ъаксбардорӣ доштанд ва дар воқеъ ҳеч хонаводае салтанатӣ дар он даврон ба андозаи хонадони румонуф аз саҳнаҳои зиндагии худ ъакс барнадошта буд
هر کدام یک دستگاه عکاسی براونی داشتند,ҳар кудом як дастгоҳи ъаккосии броунӣ доштанд
در خانه خاص‌منظوره همه دستگاه‌ها و تجهیزات عکاسی مصادره شد,дар хонаи хосманзура ҳамаи дастгоҳҳо ва таҷҳизоти ъаккосӣ мусодира шуд
دور تا دور خانه حصاری به بلندای متر کشیده بودند تا نه از درون نگاهی به بیرون رسوخ کند و نه وارونه,давр то даври хона ҳисоре ба буландои метр кашида буданд то на аз дарун нигоҳе ба берун русух кунаду на воруна
ظاهرا نگاهی رسوخ کرده بود که دیرتر دیواری بلندتر و محکم‌تر در برابر حصار اول قد کشید,зоҳиран нигоҳе русух карда буд ки дертар деворе буландтару муҳкамтар дар баробари ҳисори аввал қад кашид
در نیمه‌شب ژوئیه اعضای خانواده رُمانف و همراهان‌شان‌را به بهانه اینکه باید به محل امن‌تری منتقل شوند از خواب بیدار می‌کنند,дар нимашаби жуие июл аъзои хонаводаи румонуф ва ҳамроҳонашро ба баҳонаи инки бояд ба маҳлли амнтаре мунтақил шаванд аз хоб бедор мекунанд
