Сити-оф-Кентерберӣ	سیتی کنتربری
Торбей	توربی
Куала-Лумпур	کوالالامپور
Шаҳристони Ҷувайн	شهرستان جوین
Шаҳристони Раштxор	شهرستان رشتخوار
шаҳристони Халилобод	شهرستان خلیل‌آباد
шаҳристони Ҷағатой	شهرستان جغتای
Шаҳристони Маҳ Валот	شهرستان مه‌ولات
Шаҳристони Доварзан	شهرستان داورزن
Шаҳристони Хушоб	شهرستان خوشاب
шаҳристони Сабзвор	شهرستان سبزوار
Шаҳристони Шештамад	شهرستان ششتمد
Шаҳристони Зеберхон	شهرستان زبرخان
Шаҳристони Бардискан	شهرستان بردسکن
Шаҳристони Калот	شهرستان کلات
Шаҳристони Даргаз	شهرستان درگز
Боҷситон	بجستان
Шаҳристони Кӯҳсорҷ	شهرستان کوهسرخ
Шаҳристони Турбатиҳайдария	شهرستان تربت حیدریه
Шаҳристони Кошмар	شهرستان کاشمر
Шаҳристони Турбатиҷом	شهرستان تربت جام
Шаҳристони Машҳад	شهرستان مشهد
Шаҳристони Шондиз	شهرستان بینالود
Шаҳристони Завеҳ	شهرستان زاوه
Шаҳристони Солеҳобод	شهرستان صالح‌آباد
Шаҳристони Чинарон	شهرستان چناران
Шаҳристони Гунобод	شهرستان گناباد
Шаҳристони Фаремон	شهرستان فریمان
Шаҳристони Бохарз	شهرستان باخرز
Шаҳристони Найшобӯр	شهرستان نیشابور
Шаҳристони Сараxс	شهرستان سرخس
Шаҳристони Тойбод	شهرستان تایباد
Шаҳристони Хоф	شهرستان خواف
Биёбон	بیابان
Сочи	سوچی
Анапа	آناپا
Устиё	اوستیا
Афинаи Қадим	آتن باستان
Мате-Йехуда	آماری ماتیه یهودا
Нара	نارا
Токио	توکیو
Ҳомун	هامون
Ваҳдат	وحدت
Мартовский	مارتوفسکی
шаҳристони Берот	شهرستان برات
Жӯйсзин	روئیجین
Қошғар	کاشغر
Квебек	کبک
Монреал	مونترآل
Пуэрто Рико	پورتوریکو
Самоаи Америкоӣ	ساموآی آمریکا
Шимолии	شمالی
Ҳоланди Ҳобсбург	هلند هابسبورگ
Порт-оф-Спейн	پرت آو اسپاین
Вирҷиния	ویرجین
Калкутта	کلکته
Шарм-аш-Шайх	شرم‌الشیخ
Мишима	میشیما،
Никко	نیکو،
Алавус	الاواس
Аддис-Абеба	آدیس آبابا
Оромия	اورومیا
Фукушима	فوکوشیما
Ҳамаматсу	هاماماتسو
Нагано	ناگانو
Оказаки	اوکازاکی،
Сагамиҳара	ساگامیهارا،
Ҳачиоҷи	هاچی‌اوجی،
Тачикава	تاچیکاوا،
Яшио	یاشیئو،
Болгардгоҳи Линнаҳалл	بالگردگاه لیناهال
Театри Долбӣ	تئاتر دالبی
Асунсион	آسونسیون
Сукре	سوکره
Смоленск	اسمولنسک
Киржач	کیرژاچ
Давлеканово	داولکانوفو
Электростал	الکتروستال
Нея	نیا
Сибай	سیبای
Салават	سالاوات،
Лесозаводск	لسوزاودسک
Висбаден	ویسبادن
Йена	ینا
Мюнстер	مونستر
Виттмунд	ویتموند
Зулинген	زولینگن
Гёттинген	گوتینگن
Штутгарт	اشتوتگارت
Ҳамм	هام
Пекин	پکن
Шанхай	شانگهای
Калисои Сербия	کلیسای صربی
Калисои ортодоксии Укроин	کلیسای ارتدکس اوکراین
Калисои ортодоксии Олбонӣ	کلیسای ارتدکس آلبانی
Йоҳаннесбург	ژوهانسبورگ
Ситии Лондон	سیتی لندن
Дакка	داکا
Сидней	سیدنی
Франкфурт	فرانکفورت
Лондон	لندن
Мелбурн	ملبورن
Торонто	تورنتو
Москва-Ситӣ	کسب
Мюнхен	مونیخ
Денгфенг	دنگ فنگ
Қошғар	کاشغر
Сюйфу	تایفو
ҶС	کرواسی
Занзибар	زنگبار
Подшоҳии Пруссия	پادشاهی پروس
Бавария	بایرن
озоди Пруссия	آزاد پروس
Мадрид	مادرید
Орогун	آراگون
нави идории	الاداریه
Чандигар	چندی‌گر
Оттава	اتاوا
Ҳошимин	هوشی‌مین
Бразилиа	برازیلیا
Вашингтон Ҳавзаи Колумбия	واشینگتن، دی. سی.
Ню-Дели	دهلی
Фурудгоҳи саҳро куршом	فرودگاه صحرایی کورشام
Фурудгоҳи бин‌алмилалӣ вл д коеҳс	فرودگاه بین‌المللی ول د کائس
Ясная Поляна	یاسنایا پالیانا
Деҳлӣ	دهلی
Манила	مانیل
Токио	توکیو
Озод-Кашмир	کشمیر
Киншаса	کینشاسا
Лубнон	استان های لبنان
Бангкок	بانکوک
Ишқобод	عشق‌آباد
Ҷибути	جیبوتی
Бишкек	بیشکک
Хониара	هونیارا
Қароқалпоқистон	قره‌قالپاقستان
Ноҳияҳои тобеи ҷумҳурӣ	ناحیه‌های تابع جمهوری
Порт-Морсби	پورت مورسبی
Ноҳияи пойтахт	ناحیه پایتختی
Богота	بوگوتا
Ниамей	نیامی
Сербӣ	صرب
Бамако	باماکو
Бухарест	بخارست
Чхунчхон-Пукто	چونگچیونبوک-دو
Буэнос Айрес	بوئنوس آیرس
Мале	ماله
Ереван	ایروان
Минск	مینسک
Уш	اوش
Минтақаҳои федеролии	مناطق فدرال
Конакрӣ	کوناکری
Пхенян	پیونگ‌یانگ
Порт-Луи	پورت‌لوئیس
Тошканд	تاشکند
Кигали	کیگالی
Белград	بلگراد
Подгоритса	پودگوریتسا
Голгат-Балтистон	گلگت-بلتستان
Нмунлис	نمونلیس
Судон	سودان
Муштаракулманофеи Лаҳистон-Литва	مشترک‌المنافع لهستان–لیتوانی
Рум	روم
Селевкиён	سلوکیان
Лу	لو
Рига	ریگا
Юрмала	یورمالا
Утриш-Маҷористон	اتریش-مجارستان
Ҳоҷенвилл	هاجنویل،
Ҳартфорд	هارتفورد
Белвю	بلویو،
Дурҳом	دورهام،
Волсом	والتهام،
Атланта	آتلانتا
Ҳадсун,Ню-Йорк	هادسون، نیویورک
витир	ویتیر،
Санта Барбара	سنتا باربارا،
Вустер	ووستر،
Гэри	گری،
Глендейл	گلندیل
Амстердам,Ню-Йорк	آمستردام، نیویورک
Помона	پومونا،
Индепенденс	ایندیپندنس،
Порт Ҷервис,Ню-Йорк	پورت جرویس، نیویورک
Санта Фе	سانتا فه
Литл Фолз,Ню-Йорк	لیتل فالز، نیویورک
Сан Маркос	سن مارکوس،
Лас Вегас	لاس‌وگاس
Талса	تالسا،
Мишен-Вйеҳу	میشن ویجو،
Синсиннати	سینسینتی
Ҳюстон	هیوستون
Лансинг	لنسینگ
Ню-Йорк	نیویورک
Ашленд	اشلند،
Сан-Марино	سان مارینو،
Гловурсвил,Ню-Йорк	گلوورسویل، نیویورک
Огденсбург,Ню-Йорк	اگدنس بورگ، نیویورک
Томасвил	توماس ویل،
Сан Диего	سن دیگو
Кетчум	کچام،
Бей Сент-Луис	بی سنت. لوئیس،
Майами	میامی
Рочестер,Ню-Йорк	روچستر
Детройт	میشیگان،
Умоҳо	اوماها
Колумбия	کلمبیا،
Воҳу	واهو،
Нюбург,Ню-Йорк	نیوبورگ، نیویورک
Манчестер	منچستر،
Эл-Сентро	ال سنترو،
Лукпорт,Ню-Йорк	لوک پورت، نیویورک
Ренселаер,Ню-Йорк	رنسلیر، نیویورک
Спрингфилд, Массачусетс	اسپرینگفیلد ماساچوست
Мидл Таун,Ню-Йорк	میدل تاون، نیویورک
Албания,Ню-Йорк	آلبانی، نیویورک
Сан-Бруно	سان برونو،
Санта-Моника	سنتا مونیکا،
Сакраменто	ساکرامنتو
Бруклин	بروکلین
Монтгомери	مونتگمری
Ричмунд	ریچموند،
Ҳоп	هوپ
Балтимор	بالتیمور
Колорадо Спрингс,	کلرادو اسپرینگز
Оулон,Ню-Йорк	اولان، نیویورک
Куинсӣ	کوئینسی،
Соку	سوکو،
Локовоно,Ню-Йорк	لاکاوانا، نیویورک
Рим,Ню-Йорк	رم، نیویورک
Кембриҷ	کمبریج
Сан-Франсиско	سان فرانسیسکو
Бустун	بوستون
Даллас,	دالاس
Арлингтон, Техас	آرلینگتون، تگزاس
Ниагаро Фолз,Ню-Йорк	نیاگارا فالز، نیویورک
Рончу-Мирож	رانچو مایراج،
Спрингфилд	اسپرینگ‌فیلد
Оусвего,Ню-Йорк	اوس ویگو، نیویورک
Маунт Вернон,Ню-Йорк	مانت ورنون، نیویورک
Норт Тауновондо,Ню-Йорк	نورت توناواندا، نیویورک
Оунинто,Ню-Йорк	اونینتا، نیویورک
Франкфорт	فرانکفورت
Орлеани	نیواورلئان
Нашвилл	نشویل
Тоскомбиё	تاسکامبیا،
Йорба-Линда	یوربا لیندا،
Корал-Гейблс	کورال گیبلز،
Оуэнсборо	اوونزبروو،
Кингстон,Ню-Йорк	کینگستون، نیویورک
Бирмингем	برمینگهم،
Малибу	ملیبو،
Илӣ	الی،
Кингстрӣ	کینگستر،
Таун,Ню-Йорк	جانزتاون، نیویورک
Престонсбург	پرستونسبورگ،
Наталия	ناتالی،
Мемфис	ممفیس
Кливленд	کلیولند
Шауни	شنی،
Сиэтл	سیاتل
Платсбург,Ню-Йорк	پلاتس بورگ، نیویورک
Мечаниквил,Ню-Йорк	مچانیکویلی، نیویورک
Каламазу	کالامزو،
Олимпиа,	المپیا
Скоттсдейл	سکاتزدیل،
Лос Анҷелес	لس آنجلس
Миннеаполис	مینیاپولیس
Ню-Ҳейвен	نیوهیون،
Сент-Луис	سنت لوئیس
Паго-Паго	پاگو پاگو
Беркли	برکلی،
Дейвис	دیویس،
Њурнел,Ню-Йорк	هورنل، نیویورک
Оунидо,Ню-Йорк	اونیدا، نیویورک
Таун,Ню-Йорк	تاون، نیویورک
Фресну	فرزنو
Чикаго	شیکاگو
шаҳрдории Резекне	شهرداری رزکنه
Рундал	رونداله
Эрӣ	اری،
Бирмингем	بیرمنگام
Кентерберӣ	کنتربری
Кембриҷ	کمبریج
Баҳр-ал-Ғазал	بحر الغزال
Бидефурд	بیدفورد
Фантингтон	فانتینگتون
Стратфорд-апон-Эйвон	استراتفورد
Тинмут	تینموث
Кулчестер	کولچستر
Мейдлӣ	مادلی،
Куршҳом	کورشهام
Нюморкет	نیومارکت،
Илчестер	ایلچستر
Лайм-Реҷис	لایم ریجیس
Плимут	پلیموث
Вулер	وولر
Биёбони Виктория	بیابان ویکتوریا
Баҳрайн	بحرین
Вануату	وانواتو
Малта	مالت
Индонезия	اندونزی
Зеландияи	نیوزیلند
Маврикия	موریس
Микронезия	میکرونزی
Кирибатӣ	کیریباتی
Палау	پالائو
Исландия	ایسلند
Ирландия	ایرلند
Фиҷи	فیجی
Кипр	قبرس
Тимори Шарқӣ	تیمور شرقی
Антигуаю Барбуда	آنتیگوا و باربودا
Бритониёи	بریتانیا
Науру	نائورو
Попуо Гинеяи Нав	پاپوآ گینه نو
ва Принсипи	و پرینسیپ
Сингапур	سنگاپور
Ҷазираҳои Димоғаи	ورد
Шри-Ланка	سری‌لانکا
Кук	کوک
Доминикан	دومینیکن
Гренада	گرنادا
Кубо	کوبا
Самоа	ساموآ
Малдив	مالدیو
Сент-Винсент ва Гренадинҳо	سنت وینسنت و گرنادین‌ها
Сент-Китс ва Невис	سنت کیتس و نویس
Туркии Шимолӣ	ترک شمالی
Соломон	سلیمان
Ҷопон	ژاپن
Сент-Люсия	سنت لوسیا
Комор	قمر
Тонга	تونگا
Тайван	تایوان
Сейшел	سیشل
Маршал	مارشال
Ямайка	جامائیکا
Гренландия	گرینلند
Ҳоитӣ	هائیتی
Мадагаскар	ماداگاسکار
Янгон	یانگون
Ҷайпур	جیپور
Бангалор	بنگلور
Белен	بلم
Брисбен	بریزبن
Ҳайдаробод	حیدرآباد
Мумбай	بمبئی
Карочӣ	کراچی
Ченнаи	چنای
Байнаннаҳрайн	میان‌رودان
Налчик	نعلچیک
Иёлати Миср	ایالت مصر
Белгия	بلژیک
Португалия	پرتغال
Олмон	آلمان
Чили	شیلی
Чехия	چک
Итолиё	ایتالیا
Иёлоти Амрико	ایالات آمریکا
Туркия	ترکیه
Кулумбия	کلمبیا
Латвия	لتونی
Австралия	استرالیا
Словакия	اسلواکی
Дания	دانمارک
Финланд	فنلاند
Норвегия	نروژ
Словения	اسلوونی
Литва	لیتوانی
Суэд	سوئد
