Мардони мусаллаҳ чаҳоршанбешаб дар чандин нуқтаи мухталифи Бомбей бо мусалсал ва норинҷак даст ба ҳамла заданд, ки дастикам 101 кушта ва ҳудуди 287 захмӣ бар ҷой гузоштааст.	مردان مسلح چهارشنبه شب در چندین نقطه مختلف بمبئی با مسلسل و نارنجک دست به حمله زده اند که دستکم 101 کشته و حدود 287 زخمی بر جای گذاشته است.
Ҳадди ақал ҳафт нуқтаи пойтахти иқтисодии Ҳинд, аз ҷумла ду ҳутели муҷаллал ҳадафи ҳамлаи тирандозон қарор гирифт.	حداقل هفت نقطه پایتخت اقتصادی هند از جمله دو هتل مجلل هدف حمله تیراندازان قرار گرفت.
Пулис гуфтааст, ки тирандозиҳо бахше аз ҳамалоти ҳамоҳанги теруристӣ будааст.	پلیس گفته است که تیراندازی ها بخشی از  حملات  هماهنگ تروریستی بوده است.
Пулис мегӯяд, ки 4 муҳоҷими мазнун дар ин ҳамлаи теруристӣ кушта шуда ва 9 нафар дастгир шудаанд.	پلیس می گوید که 4 مهاجم مظنون در این حمله تروریستی کشته شده و 9 نفر دستگیر شده اند.
Бо равшан шудани ҳаво дар рӯзи панҷшанбе дар Бомбей, авзоъ ҳамчунон мубҳам аст ва гузоришҳо аз тирандозӣ дар ҳафт то шонздаҳ нуқта мутағйир аст.	با روشن شدن هوا در روز پنجشنبه در بمبئی، اوضاع همچنان مبهم است و گزارش ها از تیراندازی در هفت تا شانزده نقطه متغیر است.
"Кумондуҳо ду ҳутел, ""Тоҷмаҳал"" ва ""Уберуй тройдеунт"", ки тасаввур мешавад мардони мусаллаҳ даҳҳо нафарро дар онҳо гаравгон гирифта бошанд, муҳосира кардаанд."	کماندوها دو هتل، تاج محل و اوبروی ترایدنت، که تصور می شود مردان مسلح ده ها نفر را در آنها گروگان گرفته باشند محاصره کرده اند.
Мақомҳо мегӯянд, ки раиси воҳиди зидди терурисми Бомбей ва ду афсари аршади дигар аз ҷумлаи кушташудагон ҳастанд.	مقام ها می گویند که رئیس واحد ضدتروریسم بمبئی و دو افسر ارشد دیگر از جمله کشته شدگان هستند.
Кохи Сафед пас аз баргузории нишасти мақомҳои аршади иттилоъотиӣ ва зидди терурисм қавл додааст ба давлати Ҳинд кумак кунад.	کاخ سفید پس از برگزاری نشست مقام های ارشد اطلاعاتی و ضدتروریسم قول داده است  به دولت هند کمک کند.
Ҳамлаи мардони мусаллаҳ дар соати ёздаҳи шаб  ба вақти маҳаллӣ дар нуқоте дар ҷануби Бомбей оғоз шуд.	حمله مردان مسلح در ساعت یازده شب به وقت محلی در نقاطی در جنوب بمبئی آغاز شد.
"Эй Эн Руй, кумиссари пулиси иёлати Моҳороштро гуфт: ""Теруристҳо бо истифода аз мусалсал ва дар бархе нуқот норинҷак даст ба ҳамла задаанд."""	"ای ان روی، کمیسر پلیس ایالت ماهاراشترا، گفت: ""تروریست ها با استفاده از مسلسل و در برخی نقاط نارنجک دست به حمله زده اند."""
Гузоришҳои шоҳидони айнӣ ҳокист, ки муҳоҷимон  бавижа шаҳрвандони Бритониё ва Омрикоро ҳадаф гирифтанд.	گزارش های شاهدان عینی حاکیست که مهاجمان به ویژه شهروندان بریتانیا و آمریکا را هدف گرفتند.
"Гурӯҳе, ки худро ""Муҷоҳидини Дикон"" (Дикон номи минтақае дар Ҳинд аст) меномад, масъулияти ҳамларо ба ӯҳда гирифтааст."	"گروهی که خود را ""مجاهدین دِکان"" (دِکان نام منطقه ای در هند است) می نامد مسئولیت حمله را به عهده گرفته است."
Ин гурӯҳ то кунун ношинохта буд.	این گروه تاکنون ناشناخته بود.
Ангезаи ҳамла маълум нест, аммо ин ҳодиса дар хилоли интихобот дар чандин иёлати Ҳинд, аз ҷумла дар ноҳияи миноқишазади Кашмир рӯй медиҳад.	انگیزه حمله معلوم نیست اما این حادثه در خلال انتخابات در چندین ایالت هند از جمله در ناحیه مناقشه زده کشمیر روی می دهد.
Дар моҳҳои ахир мавҷе аз бумбгузориҳо дар шаҳрҳои Ҳинд рӯй дода, ки ҷони даҳҳо нафарро гирифтааст.	در ماه های اخیر موجی از بمبگذاری ها در شهرهای هند روی داده که جان ده ها نفر را گرفته است.
Ҳамалоти маргбор Бомбейро ба ларза даровард	حملات مرگبار بمبئی را به لرزه در آورد
Оқои Милибанд шомгоҳи рӯзи душанбе бидуни эъломи қаблӣ вориди Кобул шуд ва ҳадаф аз ин сафар огоҳӣ аз шароити нерӯҳои бритониёии мустақар дар Афғонистон ва мулоқот бо мақомоти аршади ин кишвар унвон шудааст.	آقای میلیبند شامگاه روز دوشنبه بدون اعلام قبلی وارد کابل شد و هدف از این سفر آگاهی از شرایط نیروهای بریتانیایی مستقر در افغانستان و ملاقات با مقامات ارشد این کشور عنوان شده است.
Сафорати Бритониё дар Кобул дар мавриди барномаи сафари оқои Милибанд ва музокироти ӯ бо раиси ҷумҳурии Афғонистон ҷузъиёти бештаре мунташир накардааст, аммо интизор меравад мулоқот бо фармондеҳон ва гуруҳе аз низомиёни бритониёӣ бахше аз барномаи ин сафар бошад.	سفارت بریتانیا در کابل در مورد برنامه سفر آقای میلیبند و مذاکرات او با رئیس جمهوری افغانستان جزئیات بیشتری منتشر نکرده است اما انتظار می رود ملاقات با فرماندهان و گروهی از نظامیان بریتانیایی بخشی از برنامه این سفر باشد.
Артиши Бритониё дар ҷанг алайҳи режими толибон дар соли 2001 ширкат дошт ва дар ҳоли ҳозир воҳидҳои муташаккил аз ҳудуди ҳашт ҳазор нафарро дар Афғонистон мустақар карда, ки пас аз Омрико бузургтарин нерӯи низомии хориҷии эъзомӣ ба ин кишвар маҳсуб мешавад.	ارتش بریتانیا در جنگ علیه رژیم طالبان در سال 2001 شرکت داشت و در حال حاضر، واحدهایی متشکل از حدود هشت هزار نفر را  در افغانستان مستقر کرده که پس از آمریکا، بزرگترین نیروی نظامی خارجی اعزامی به این کشور محسوب می شود.
Ҳавзаи аслии амалиёти бахши умдае аз неруҳои бритониёӣ вилояти Ҳилманд дар ҷануби Афғонистон, аз марокизи аслии кишти хашхош ва яке аз манотиқи ҳузур ва фаъолияти шуришиёни толибон дар ин кишвар аст.	حوزه اصلی عملیات بخش عمده ای از نیروهای بریتانیایی ولایت هلمند در جنوب افغانستان، از مراکز اصلی کشت خشخاش و یکی از مناطق حضور و فعالیت شورشیان طالبان در این کشور است.
Бритониё ҳамчунин таъкид дошта, ки  лозим аст соири кишварҳои узви паймони Отлонтики Шимолӣ ҳимояти бештаре аз Неруи Ёрии Амнияти Афғонистон - Айсоф ба амал оваранд ва ва мушорикати бештаре дар маъмуриятҳои он дошта бошанд.	بریتانیا همچنین تاکید داشته که لازم است سایر کشورهای عضو پیمان اتلانتیک شمالی حمایت بیشتری از نیروی یاری امنیت افغانستان - آیساف - به عمل آورند و مشارکت بیشتری در ماموریت های آن داشته باشند.
Ҳадафи ин ҳайат аз дидор аз Афғонистон баррасии пешрафт дар заминаи истиқрори амният  ва бозсозӣ дар ин кишвар аст.	هدف این هیات از دیدار از افغانستان بررسی پیشرفت در زمینه استقرار امنیت و بازسازی  در این کشور است.
Қарор аст вазири хориҷаи Бритониё рӯзи сешанбе дар як нишасти хабарӣ дар Афғонистон ширкат кунад.	قرار است وزیر خارجه بریتانیا روز سه شنبه در یک نشست خبری در افغانستان شرکت کند.
