Хабари фаврӣ ҳамин ки хабаре дар роҳ аст	خبر فوری همین که خبری‌ در راه است
Рӯбарӯи беҳарифон хатаре дар роҳ аст	روبروی بی‌حریفان خطری در راه است
Баъд ҳам дасти ситам мешиканад бетардид	بعد هم دست ستم می‌شکند بی‌تردید
Дастовези аҳуронигаре дар роҳ аст	دست‌آویز اهورانگری‌ در راه است
Ҳар ки аз ғуссаи мо бодаи шодӣ мехурд	هر که از غصهٔ ما بادهٔ شادی می‌خورد
Шавкароне таҳи ҷомаш шакар-е дар роҳ аст	شوکرانی ته جامش شکری در راه است
Дар дили бешаи аҳримании рангу риё	در دل بیشهٔ اهریمنی رنگ و ریا
Беамон бо дилу имон табаре дар роҳ аст	بی‌امان با دل و ایمان تبری در راه است
Хабаре ҳаст ки аз авҷи дурӯғ уфтодед	خبری هست که از اوج دروغ افتادید
Чунки донои куди хайру шаре дар роҳ аст	چونکه دانای کد خیر و شری در راه است
Бесамар буд агар ҷаҳди ману мо то ҳол	بی‌ثمر بود اگر جهد من و ما تا حال
Ҳол гӯянд ки барояш самаре дар роҳ аст	حال گویند که برایش ثمری در راه است
Бесавоб буд агар ин ҳама фарёду наҳиб	بی‌صواب بود اگر این همه فریاد و نحیب
Қисса воруна шуда ҳон агар-е дар роҳ аст	قصه وارونه شده هان اگری در راه است
Хабар ин аст хабари фаврии дунё ин аст	خبر این است خبر فوری دنیا این است
Ки яли ромгари гову харе дар роҳ аст	که یل رامگر گاو و خری در راه است
Дуруст сол пеш дар ҳамин соъот ҷӯхаи марги булшевикҳо ба дастури сардамдорашон Влодимир Улёнуф Ленин вопасин хонаводаи салтанатии Русияро дар шаҳри Екотеринбург дар ғарби Сибрӣ ба рагбор баст	درست سال پیش در همین ساعات جوخه مرگ بلشویک‌ها به دستور سردمدارشان ولادیمیر اولیانف لنین واپسین خانواده سلطنتی روسیه‌را در شهر یِکاتِرین‌بورگ در غرب سیبری به رگبار بست
Тезор Никулойи Дувум ва ҳамсараш Олексондро ва панҷ фарзандашон Улго Тотёно Мориё Оностосиё ва Олексей дар хуни ҳамдигар ғалтиданду мурданд	تزار نیکُلای دوم و همسرش آلکساندرا و پنج فرزندشان اُلگا تاتیانا ماریا آناستاسیا و آلکسی در خون همدیگر غلطیدند و مردند
Ба ҳангоми марг Улго Тотёно Мориё Оностосиё ва Олексей сол доштанд	به هنگام مرگ اُلگا تاتیانا ماریا آناستاسیا و آلکسی سال داشتند
Шоҳзода Олексей ки интизор мерафт рӯзе ба тоҷу тахти Русия бирасад гирифтори ҳемуфилӣ буд беморие ки дар бисёре аз хонаводаҳои салтанатии Урупои садаҳои ва шоеъ буд ва Олексей аз модараш ба ирс бурда буд	شاهزاده آلکسی که انتظار می‌رفت روزی به تاج و تخت روسیه برسد گرفتار هموفیلی بود؛ بیماری‌ای که در بسیاری از خانواده‌های سلطنتی اروپای سده‌های و شایع بود و آلکسی از مادرش به ارث برده بود
Қасовати ин ҷиноят ба ҳадде буд ки дар даврони шӯравӣ аз он ёд намешуд	قساوت این جنایت به حدی بود که در دوران شوروی از آن یاد نمی‌شد
Ва агар мешуд пои Ленин дар миён набуд ва дар ъиваз мегуфтанд бо пешравии тунду сареъи Артиши Сафед ҳаводорони салтанат нерӯҳои булшевик дар минтақаи Уроли Шӯравӣ тасмим ба қатли бидуни муҳокимаи тезор Никулой ва аҳли хонаводааш гирифтанд чун нигарон буданд ки мумкин аст ҳаводорони хонадони салтанатӣ онҳоро озод кунанд	و اگر می‌شد پای لنین در میان نبود و در عوض می‌گفتند با پیشروی تند و سریع ارتش سفید هواداران سلطنت نیروهای بلشویک در منطقه اورال شوروی تصمیم به قتل بدون محاکمه تزار نیکلای و اهل خانواده‌اش گرفتند چون نگران بودند که ممکن است هواداران خاندان سلطنتی آنها‌را آزاد کنند
Аммо дар ҳашт соли нахуст дастгоҳи таблиғотии Шӯравӣ бешармона дар мавриди сарнивишти хонадони салтанатӣ дурӯғпароканӣ мекард	اما در هشت سال نخست دستگاه تبلیغاتی شوروی بی‌شرمانه در مورد سرنوشت خاندان سلطنتی دروغ‌پراکنی می‌کرد
