Бишнав аз най чун ҳикоят мекунад,	بشنو این نی چون شکایت می‌کند
Аз ҷудойиҳо шикоят мекунад,	از جدایی‌ها حکایت می‌کند
К-аз найистон то маро бубридаанд,	کز نیستان تا مرا ببریده‌اند
Дар нафирам марду зан нолидаанд.	در نفیرم مرد و زن نالیده‌اند
Сина хоҳам шарҳа–шарҳа аз фироқ,	سینه خواهم شرحه شرحه از فراق
То бигӯям шарҳи дарди иштиёқ.	تا بگویم شرح درد اشتیاق
Ҳар касе, к-ӯ дур монд аз асли хеш,	هر کسی کو دور ماند از اصل خویش
Боз ҷӯяд рӯзгори васли хеш.	باز جوید روزگار وصل خویش
Ман ба ҳар ҷамъийяте нолон шудам,	من به هر جمعیتی نالان شدم
Ҷуфти бадҳолону хушҳолон шудам.	جفت بدحالان و خوش‌حالان شدم
Ҳар касе аз занни худ шуд ёри ман,	هر کسی از ظن خود شد یار من
Аз даруни ман наҷуст асрори ман.	از درون من نجست اسرار من
Сирри ман аз нолаи ман дур нест,	سر من از نالهٔ من دور نیست
Лек чашму гӯшро он нур нест.	لیک چشم و گوش را آن نور نیست
Тан зи ҷону ҷон зи тан мастур нест,	تن ز جان و جان ز تن مستور نیست
Лек касро диди ҷон дастур нест.	لیک کس را دید جان دستور نیست
Оташ аст ин бонги нойу нест бод,	آتش است این بانگ نای و نیست باد
Ҳар кӣ ин оташ надорад, нест бод!	هر که این آتش ندارد نیست باد
Оташи ишқ аст, к-андар най фитод,	آتش عشق است کاندر نی فتاد
Ҷӯшиши ишқ аст, к-андар май фитод.	جوشش عشق است کاندر می فتاد
Най ҳарифи ҳар кӣ аз ёре бурид,	نی حریف هر که از یاری برید
Пардаҳояш пардаҳои мо дарид.	پرده‌هایش پرده‌های ما درید
Ҳамчу най заҳреву тарёқе кӣ дид?	همچو نی زهری و تریاقی که دید
Ҳамчу най дамсозу муштоқе кӣ дид?	همچو نی دمساز و مشتاقی که دید
Най ҳадиси роҳи пурхун мекунад,	نی حدیث راه پر خون می‌کند
Қиссаҳои ишқи Маҷнун мекунад.	قصه‌های عشق مجنون می‌کند
Маҳрами ин ҳуш ҷуз беҳуш нест,	محرم این هوش جز بیهوش نیست
Мар забонро муштарӣ ҷуз гӯш нест.	مر زبان را مشتری جز گوش نیست
