حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
مطمئنم که مردم تاجیکستان هم از احوال ایران نگران هستند,мутмаъинам ки мардуми тоҷикистон ҳам аз аҳволи эрон нигарон ҳастанд
اینجانب شخصاً هم خیلی نگران اوضاع ایران هستم,инҷониб шахсан ҳам хеле нигарони авзоъи эрон ҳастам
به خاندان هشت نفر کشته شده تسلی عرض می‌کنم,ба хонадони ҳашт нафари кушта шуда тасаллият арз мекунам
این‌ها جوانانی بودند که فقط می‌خواستند از خقوق خود و حقوق ملت ایران دفاع نمایند,инҳо ҷавононе буданд ки фақат мехостанд аз ҳуқуқи худ ва аз ҳуқуқи миллати эрон дифоъ кунанд
شاید بسیاری‌ها با خواندن آخرین نگارش بنده روی تارنگار فکر کردند که من از این یا آن نامزد پشتبانی می‌کنم که قطعاً این گونه نیست,шояд бисёриҳо бо хондани охарин нигориши банда рӯйи торнигор фикр карданд ки ман аз ин ё он номзад пуштибонӣ мекунам ки қатъан ин гуна нест
بنده مدافع کوچک ملت وشکوه و حشمت ملت ایران منظور از تمام ایرانیان یا خود تاجیکان است هستم و همچنین مدافع کوچک استقلال ملت هستم,банда мудофеъи кӯчаки миллат ва шукӯҳу ҳашамати миллати эрон манзур аз тамоми эрониён ё худ тоҷикон аст ҳастам ва ҳамчунин мудофеъи кӯчаки истиқлоли миллат ҳастам
متاسفانه تاریخ سرزمین ما نشان داده که چنین اتفاقاتی فراوانی افتاده که بیگانگان دست خودرا به مرز و بوم ما دراز می‌کنند و هر گونه بی نظامی‌هارا در کشور جاری می‌نمایند,мутаасифона торихи сарзамини мо нишон дода ки чунин иттифоқоти фаровоне уфтода ки бегонагон дасти худро ба марзу буми мо дароз мекунанд ва ҳар гуна бе низомиҳоро дар кишвар ҷорӣ менамоянд
همین است که تا آن زمانی که دلائل بیشتری مبنی بر تقلبات در انتخابات ندیدم چیزی زیادی در این باره نگفتم,ҳамин аст ки то он замоне ки далоили бештаре мабнӣ бар тақаллубот дар интихобот надидам чизи зиёде дар ин бора нагуфтам
شوربختانه به نظر می‌آید که تقلبات در این انتخابات در واقع رخ داده,шӯрбахтона ба назар меояд ки тақаллубот дар ин интихобот дар воқеъ рух дода
البته نمی‌توان مطمئن بود که این پیروز واقعی‌را می‌تواند تغییر دهد یا خیر,албатта наметавон мутмаъин буд ки ин пирӯзи воқеъиро метавонад тағйир диҳад ё хайр
امیدوارم که اوضاع در ایران آرام گردد و همچنین به آرای مردم احترام گذاشته شود,умедворам ки авзоъ дар эрон ором гардад ва ҳамчунин ба орои мардум эҳтиром гузошта шавад
به نظر اینجانب در واقع برگذاری انتخابات مجدد در کشور بهترین راه است تا تمام شبهه‌ها برطرف گردند,ба назари инҷониб дар воқеъ баргузории интихоботи муҷаддад дар кишвар беҳтарин роҳ аст то тамоми шубҳаҳо бартараф гарданд
به نظر می‌رسد در چارچوب قانون اساسی جمهوری اسلامی بسیار تخلفاتی در روند انتخابات به وقوع پیوسته,ба назар мерасад дар чорчӯби қонуни асосии ҷумҳурии исломӣ бисёр тахуллуфоте дар раванди интихобот ба вуқӯъ пайваста
